"Customer Purchase Or","Overall status","Item category","Material group","Material - Model Number (Key)"
"011-0008740-003","A","FIS Return Item","Capital","OFP-2"
"011-0008740-003","A","FIS Return Item","Capital","TJF-160VF"
"011-0008740-003","A","FIS Return Item","Capital","LTF-VH"
"011-0008740-003","A","FIS Return Item","Capital","CF-HQ190L"
"011-0008740-003","A","FIS Return Item","Capital","PCF-H190L"
"011-0008740-003","A","FIS Return Item","Capital","GIF-HQ190"
"011-0008740-003","A","FIS Return Item","Capital","BF-1T180"
"011-0008740-003","A","FIS Return Item","Capital","OEP-5"
"011-0008740-003","A","FIS Return Item","Capital","PROSOUND F75"
"011-0009676-001","C","FIS Return Item","Capital","IS20292"
"011-0013398-001","A","FIS Return Item","Capital","OEV-261H"
"011-0013398-001","A","FIS Return Item","Capital","CF-HQ190L"
"011-0013398-001","A","FIS Return Item","Capital","PCF-H190L"
"011-0013398-001","A","FIS Return Item","Capital","GIF-H190"
"011-0013398-001","A","FIS Return Item","Capital","GIF-XP190N"
"011-0013398-001","A","FIS Return Item","Capital","OEP-5"
"012-0010079-003","C","FIS Return Item","Capital","OEP-4"
"012-0010079-003","C","FIS Return Item","Capital","LMD-1950MD"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CLV-180"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CV-180"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","GIF-H180J"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0007328-049","C","Lease Trade Value","Capital","CLV-180"
"101-0007328-049","C","Lease Trade Value","Capital","CV-180"
"101-0007328-049","C","Lease Trade Value","Capital","GIF-H180J"
"101-0007328-049","C","Lease Trade Value","Capital","CF-H180AL"
"101-0007328-049","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0007328-049","C","OP Sales Item","Capital","MAJ-1430"
"101-0007328-049","C","OP Sales Item","Capital","CV-190"
"101-0007328-049","C","OP Sales Item","Capital","CLV-190"
"101-0007328-049","C","OP Sales Item","Capital","CF-HQ190L"
"101-0007328-049","C","OP Sales Item","Capital","GIF-HQ190"
"101-0007328-049","C","OP Sales Item","Capital","PCF-H190DL"
"101-0007328-049","C","OP Sales Item","Capital","IS2019HB"
"101-0007328-049","C","OP Sales Item","Accessory","MAJ-1918"
"101-0007328-049","C","OP Sales Item","Accessory","MAJ-1916"
"101-0007328-049SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0007328-049SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","CLV-180"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","CV-180"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","GIF-Q180"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","PCF-Q180AL"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","GIF-H180"
"101-0007328-050","A","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0007328-050","C","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-050","C","Lease Trade Value","Capital","CLV-180"
"101-0007328-050","C","Lease Trade Value","Capital","CV-180"
"101-0007328-050","C","Lease Trade Value","Capital","GIF-Q180"
"101-0007328-050","C","Lease Trade Value","Capital","PCF-Q180AL"
"101-0007328-050","C","Lease Trade Value","Capital","CF-H180AL"
"101-0007328-050","C","Lease Trade Value","Capital","GIF-H180"
"101-0007328-050","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0007328-050","C","OP Sales Item","Capital","MAJ-1430"
"101-0007328-050","C","OP Sales Item","Capital","CV-190"
"101-0007328-050","C","OP Sales Item","Capital","CLV-190"
"101-0007328-050","C","OP Sales Item","Capital","CF-HQ190L"
"101-0007328-050","C","OP Sales Item","Capital","GIF-HQ190"
"101-0007328-050","C","OP Sales Item","Capital","PCF-H190DL"
"101-0007328-050","C","OP Sales Item","Capital","IS2019HB"
"101-0007328-050","C","OP Sales Item","Accessory","MAJ-1918"
"101-0007328-050","C","OP Sales Item","Accessory","MAJ-1916"
"101-0007328-051","A","Lease Trade-In Ret.","Capital","CLV-180"
"101-0007328-051","A","Lease Trade-In Ret.","Capital","CV-180"
"101-0007328-051","A","Lease Trade-In Ret.","Capital","GIF-H180J"
"101-0007328-051","A","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-051","A","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0007328-051","C","Lease Trade Value","Capital","CLV-180"
"101-0007328-051","C","Lease Trade Value","Capital","CV-180"
"101-0007328-051","C","Lease Trade Value","Capital","GIF-H180J"
"101-0007328-051","C","Lease Trade Value","Capital","CF-H180AL"
"101-0007328-051","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0007328-051","C","OP Sales Item","Capital","MAJ-1430"
"101-0007328-051","C","OP Sales Item","Capital","CV-190"
"101-0007328-051","C","OP Sales Item","Capital","CLV-190"
"101-0007328-051","C","OP Sales Item","Capital","CF-HQ190L"
"101-0007328-051","C","OP Sales Item","Capital","GIF-HQ190"
"101-0007328-051","C","OP Sales Item","Capital","PCF-H190DL"
"101-0007328-051","C","OP Sales Item","Capital","IS2019HB"
"101-0007328-051","C","OP Sales Item","Accessory","MAJ-1918"
"101-0007328-051","C","OP Sales Item","Accessory","MAJ-1916"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","CLV-180"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","CV-180"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","GIF-Q180"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","PCF-Q180AL"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","GIF-H180"
"101-0007328-052","C","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0007328-052","C","Lease Trade Value","Capital","CLV-180"
"101-0007328-052","C","Lease Trade Value","Capital","CV-180"
"101-0007328-052","C","Lease Trade Value","Capital","GIF-Q180"
"101-0007328-052","C","Lease Trade Value","Capital","PCF-Q180AL"
"101-0007328-052","C","Lease Trade Value","Capital","CF-H180AL"
"101-0007328-052","C","Lease Trade Value","Capital","GIF-H180"
"101-0007328-052","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0007328-052","C","OP Sales Item","Capital","MAJ-1430"
"101-0007328-052","C","OP Sales Item","Capital","CV-190"
"101-0007328-052","C","OP Sales Item","Capital","CLV-190"
"101-0007328-052","C","OP Sales Item","Capital","CF-HQ190L"
"101-0007328-052","C","OP Sales Item","Capital","GIF-HQ190"
"101-0007328-052","C","OP Sales Item","Capital","PCF-H190DL"
"101-0007328-052","C","OP Sales Item","Capital","IS2019HB"
"101-0007328-052","C","OP Sales Item","Accessory","MAJ-1918"
"101-0007328-052","C","OP Sales Item","Accessory","MAJ-1916"
"101-0007328-052SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0007328-052SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008221-059SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0008221-059SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008248-027","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008248-027","C","OP Sales Item","Capital","GIF-H190"
"101-0008248-027","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008527-021","A","Lease Trade-In Ret.","Capital","LF-TP"
"101-0008527-021","A","Lease Trade-In Ret.","Capital","GIF-XP180N"
"101-0008527-021","A","Lease Trade-In Ret.","Capital","GIF-H180"
"101-0008527-021","A","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0008527-021","A","Lease Trade-In Ret.","Accessory","COMPEXCHANGE"
"101-0008527-021","C","Lease Trade-In Ret.","Capital","GIF-H180"
"101-0008527-021","C","Lease Trade Value","Capital","LF-TP"
"101-0008527-021","C","Lease Trade Value","Capital","GIF-XP180N"
"101-0008527-021","C","Lease Trade Value","Capital","GIF-H180"
"101-0008527-021","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0008527-021","C","Lease Trade Value","Accessory","COMPEXCHANGE"
"101-0008527-021","C","OP Sales Item","Capital","GIF-HQ190"
"101-0008527-021","C","OP Sales Item","Capital","GIF-XP190N"
"101-0008527-021","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008527-021","C","OP Sales Item","Accessory","13839"
"101-0008527-021","C","OP Sales Item","Accessory","99240"
"101-0008527-021","C","Sales Explanation","Capital","MAF-TM"
"101-0008527-021","C","Sales Explanation","Capital","MAF-GM"
"101-0008527-021","C","Sales Explanation","Accessory","PRO-LI50C"
"101-0008527-021","C","Pric.at Header Level","Capital","MAF-GM-SET"
"101-0008527-021","C","Pric.at Header Level","Capital","MAF-TM-SET"
"101-0008542-117","A","Lease Trade-In Ret.","Capital","PCF-Q180AL"
"101-0008542-117","C","Lease Trade Value","Capital","PCF-Q180AL"
"101-0008542-117","C","OP Sales Item","Capital","OFP-2"
"101-0008542-117","C","OP Sales Item","Capital","K10021769"
"101-0008542-117","C","OP Sales Item","Capital","UCR"
"101-0008542-117","C","OP Sales Item","Capital","CV-190"
"101-0008542-117","C","OP Sales Item","Capital","CLV-190"
"101-0008542-117","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008542-117","C","OP Sales Item","Capital","GIF-H190"
"101-0008542-117","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008542-117","C","OP Sales Item","Capital","LMD-X310ST"
"101-0008542-117","C","OP Sales Item","Accessory","MAJ-1918"
"101-0008542-117","C","OP Sales Item","Accessory","MAJ-1916"
"101-0008542-117","C","OP Sales Item","Accessory","FLP-0002-17C"
"101-0008542-117","C","OP Sales Item","Accessory","OL-0015-08"
"101-0008542-117","C","Sales Explanation","Capital","WB991046"
"101-0008542-117","C","Sales Explanation","Accessory","MH-969"
"101-0008542-117","C","Sales Explanation","Accessory","B125060A"
"101-0008542-117","C","Pric.at Header Level","Capital","ESG-100"
"101-0008542-117SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0008542-117SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008542-119","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008542-119","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008542-120","C","Cert Pre Owned Item","Capital","GF-UCT180"
"101-0008569-003","A","FIS Return Item","Capital","CV-190"
"101-0008569-003","A","FIS Return Item","Capital","CLV-190"
"101-0008569-003","A","FIS Return Item","Capital","PCF-H190L"
"101-0008569-003","A","FIS Return Item","Capital","GIF-HQ190"
"101-0008569-003","A","FIS Return Item","Capital","GIF-XP190N"
"101-0008569-003","A","FIS Return Item","Capital","TJF-Q180V"
"101-0008569-003","A","FIS Return Item","Capital","IS20297"
"101-0008569-003","A","FIS Return Item","Capital","IS20092"
"101-0008569-004","A","FIS Return Item","Capital","CV-190"
"101-0008569-004","A","FIS Return Item","Capital","CLV-190"
"101-0008569-004","A","FIS Return Item","Capital","BF-H190"
"101-0008569-004","A","FIS Return Item","Capital","BF-1TH190"
"101-0008569-004","A","FIS Return Item","Capital","BF-Q190"
"101-0008569-004","A","FIS Return Item","Capital","OEP-5"
"101-0008569-005","C","OP Sales Item","Capital","K10020639"
"101-0008569-005","C","OP Sales Item","Capital","MAJ-1430"
"101-0008569-005","C","OP Sales Item","Capital","OBCU"
"101-0008569-005","C","OP Sales Item","Capital","CV-190"
"101-0008569-005","C","OP Sales Item","Capital","CLV-190"
"101-0008569-005","C","OP Sales Item","Capital","GIF-HQ190"
"101-0008569-005","C","OP Sales Item","Capital","GIF-XP190N"
"101-0008569-005","C","OP Sales Item","Capital","GIF-2TH180"
"101-0008569-005","C","OP Sales Item","Capital","SIF-Q180"
"101-0008569-005","C","OP Sales Item","Capital","TJF-Q180V"
"101-0008569-005","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008569-005","C","OP Sales Item","Capital","IS20420"
"101-0008569-005","C","OP Sales Item","Capital","IS20092"
"101-0008569-005","C","OP Sales Item","Accessory","MAJ-1641"
"101-0008569-005","C","OP Sales Item","Accessory","MAJ-1918"
"101-0008569-005","C","OP Sales Item","Accessory","MAJ-1916"
"101-0008569-005","C","OP Sales Item","Accessory","55645L10-1"
"101-0008569-005SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0008569-005SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008569-006","A","Sales Return Item","Capital","IS2019HB"
"101-0008569-006","C","OP Sales Item","Capital","K10021764"
"101-0008569-006","C","OP Sales Item","Capital","MAJ-1430"
"101-0008569-006","C","OP Sales Item","Capital","CV-190"
"101-0008569-006","C","OP Sales Item","Capital","CLV-190"
"101-0008569-006","C","OP Sales Item","Capital","BF-H190"
"101-0008569-006","C","OP Sales Item","Capital","BF-1TH190"
"101-0008569-006","C","OP Sales Item","Capital","BF-Q190"
"101-0008569-006","C","OP Sales Item","Capital","IS2019HB"
"101-0008569-006","C","OP Sales Item","Accessory","MAJ-1664"
"101-0008569-006","C","OP Sales Item","Accessory","MAJ-1918"
"101-0008569-006","C","OP Sales Item","Accessory","MAJ-1916"
"101-0008569-006","C","OP Sales Item","Accessory","55645L10-1"
"101-0008614-006","A","FIS Return Item","Capital","CF-HQ190L"
"101-0008614-006","A","FIS Return Item","Capital","PCF-H190L"
"101-0008614-006","A","FIS Return Item","Capital","GIF-HQ190"
"101-0008614-006","A","FIS Return Item","Capital","GIF-XP190N"
"101-0008614-006","A","FIS Return Item","Capital","TJF-Q180V"
"101-0008614-012","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008614-012","C","OP Sales Item","Capital","GIF-HQ190"
"101-0008614-012","C","OP Sales Item","Capital","GIF-XP190N"
"101-0008614-012","C","OP Sales Item","Capital","TJF-Q180V"
"101-0008614-012","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008614-012","C","OP Sales Item","Capital","LMD-X310ST"
"101-0008614-012","C","OP Sales Item","Accessory","OL-0015-08"
"101-0008614-012","C","OP Sales Item","Accessory","OL-0015-21"
"101-0008659-040","A","Sales Return Item","Capital","URF-P5"
"101-0008659-046","C","Lease Trade-In Ret.","Capital","OEV-191H"
"101-0008659-050","A","Sales Return Item","Capital","K10016678"
"101-0008659-050","C","OP Sales Item","Capital","K10016678"
"101-0008659-050","C","OP Sales Item","Capital","K10021612"
"101-0008659-050","C","OP Sales Item","Capital","OTV-S190"
"101-0008659-050","C","OP Sales Item","Capital","CLV-S190"
"101-0008659-050","C","OP Sales Item","Capital","OEV-262H"
"101-0008659-050","C","OP Sales Item","Capital","OEP-5"
"101-0008659-050","C","OP Sales Item","Capital","WA2T430A"
"101-0008659-050","C","OP Sales Item","Capital","WA2T470A"
"101-0008659-050","C","OP Sales Item","Capital","WB91051W"
"101-0008659-050","C","OP Sales Item","Accessory","MAJ-854"
"101-0008659-050","C","OP Sales Item","Accessory","75U"
"101-0008659-050","C","OP Sales Item","Accessory","A20914A"
"101-0008659-050","C","OP Sales Item","Accessory","A20924A"
"101-0008659-050","C","OP Sales Item","Accessory","A20925A"
"101-0008659-050","C","OP Sales Item","Accessory","A20971A"
"101-0008659-050","C","OP Sales Item","Accessory","A20977A"
"101-0008659-050","C","OP Sales Item","Accessory","MAJ-619"
"101-0008659-050","C","OP Sales Item","Accessory","HDVC-6-1"
"101-0008659-050","C","OP Sales Item","Accessory","UCA"
"101-0008659-050","C","OP Sales Item","Accessory","WA05990A"
"101-0008659-050","C","OP Sales Item","Single-Disposable","EMP-FBX272HS-C"
"101-0008659-050","C","OP Sales Item","Single-Disposable","EMP-FBX200BHS-C"
"101-0008659-051","A","Lease Trade-In Ret.","Capital","URF-V"
"101-0008659-051","C","Lease Trade Value","Capital","URF-V"
"101-0008659-051","C","OP Sales Item","Capital","URF-V2"
"101-0008659-051","C","OP Sales Item","Accessory","WA05991A"
"101-0008659-051","C","Demo Item","Capital","URF-V"
"101-0008659-051","C","Sales Return Item","Capital","URF-V"
"101-0008693-008","C","OP Sales Item","Capital","LTF-S190-5"
"101-0008693-008","C","OP Sales Item","Capital","CH-S190-08-LB"
"101-0008693-008","C","OP Sales Item","Accessory","13839"
"101-0008693-008","C","OP Sales Item","Accessory","99239"
"101-0008693-008","C","OP Sales Item","Accessory","99240"
"101-0008693-008","C","OP Sales Item","Accessory","WA03310A"
"101-0008740-004","A","FIS Return Item","Capital","EU-C60"
"101-0008740-004","A","FIS Return Item","Capital","OFP-2"
"101-0008740-004","A","FIS Return Item","Capital","KV-5"
"101-0008740-004","A","FIS Return Item","Capital","GIF-HQ190"
"101-0008740-004","A","FIS Return Item","Capital","BF-3C160"
"101-0008740-004","A","FIS Return Item","Capital","OEP-5"
"101-0008740-004","C","FIS Return Item","Capital","GIF-H180"
"101-0008740-006","A","Lease Trade-In Ret.","Capital","CLV-180"
"101-0008740-006","A","Lease Trade-In Ret.","Capital","CV-180"
"101-0008740-006","A","Lease Trade-In Ret.","Capital","BF-Q180"
"101-0008740-006","A","Lease Trade-In Ret.","Capital","GIF-H180"
"101-0008740-006","A","Lease Trade-In Ret.","Capital","BF-3C160"
"101-0008740-006","C","Lease Trade Value","Capital","CLV-180"
"101-0008740-006","C","Lease Trade Value","Capital","CV-180"
"101-0008740-006","C","Lease Trade Value","Capital","BF-Q180"
"101-0008740-006","C","Lease Trade Value","Capital","GIF-H180"
"101-0008740-006","C","Lease Trade Value","Capital","BF-3C160"
"101-0008740-006","C","OP Sales Item","Capital","OFP-2"
"101-0008740-006","C","OP Sales Item","Capital","K10021769"
"101-0008740-006","C","OP Sales Item","Capital","MAJ-1430"
"101-0008740-006","C","OP Sales Item","Capital","CV-190"
"101-0008740-006","C","OP Sales Item","Capital","CLV-190"
"101-0008740-006","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008740-006","C","OP Sales Item","Capital","GIF-HQ190"
"101-0008740-006","C","OP Sales Item","Capital","GIF-H190"
"101-0008740-006","C","OP Sales Item","Capital","BF-H190"
"101-0008740-006","C","OP Sales Item","Capital","BF-1TH190"
"101-0008740-006","C","OP Sales Item","Capital","LF-GP"
"101-0008740-006","C","OP Sales Item","Capital","BF-XP190"
"101-0008740-006","C","OP Sales Item","Capital","EU-ME2"
"101-0008740-006","C","OP Sales Item","Capital","ALT-PRO"
"101-0008740-006","C","OP Sales Item","Capital","MAJ-2056"
"101-0008740-006","C","OP Sales Item","Capital","BF-UC180F"
"101-0008740-006","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008740-006","C","OP Sales Item","Capital","WA4KL130"
"101-0008740-006","C","OP Sales Item","Capital","WA4KL530"
"101-0008740-006","C","OP Sales Item","Capital","WA91502A"
"101-0008740-006","C","OP Sales Item","Accessory","MAJ-1951"
"101-0008740-006","C","OP Sales Item","Accessory","MAJ-2016"
"101-0008740-006","C","OP Sales Item","Accessory","MAJ-2020"
"101-0008740-006","C","OP Sales Item","Accessory","MAJ-2254"
"101-0008740-006","C","OP Sales Item","Accessory","OIS-09605"
"101-0008740-006","C","OP Sales Item","Accessory","OL-0015-08"
"101-0008740-006","C","OP Sales Item","Accessory","WA03310A"
"101-0008740-006","C","OP Sales Item","Single-Disposable","NA-201SX-4022-A"
"101-0008740-006","C","OP Sales Item","Single-Disposable","NA-201SX-4021"
"101-0008740-006","C","Sales Explanation","Capital","CLV-S400"
"101-0008740-006","C","Sales Explanation","Capital","OTV-S400"
"101-0008740-006","C","Sales Explanation","Capital","CH-S400-XZ-EA"
"101-0008740-006","C","Sales Explanation","Capital","LMD-X310S"
"101-0008740-006","C","Pric.at Item Level","Capital","BF-UC180F-KIT"
"101-0008740-006","C","Pric.at Header Level","Capital","4K Kit-31-3CH-AC"
"101-0008740-006","C","Oly.Third Party Item","Capital","ARIETTA 850"
"101-0008740-006","C","Oly.Third Party Item","Capital","AR850 ELASTOGRAPHY"
"101-0008740-006","C","Oly.Third Party Item","Repair","AR850EXTWAR3YR"
"101-0008823-005","A","FIS Return Item","Capital","LTF-160"
"101-0008823-005","C","FIS Return Item","Capital","OFP"
"101-0008823-005","C","FIS Return Item","Capital","TJF-160VF"
"101-0008823-005","C","FIS Return Item","Capital","CV-190"
"101-0008823-005","C","FIS Return Item","Capital","CLV-190"
"101-0008823-005","C","FIS Return Item","Capital","GIF-Q180"
"101-0008823-005","C","FIS Return Item","Capital","PCF-Q180AL"
"101-0008823-005","C","FIS Return Item","Capital","BF-Q180"
"101-0008823-005","C","FIS Return Item","Capital","CF-H180AL"
"101-0008823-005","C","FIS Return Item","Capital","GIF-H180"
"101-0008823-005","C","FIS Return Item","Capital","OEP-4"
"101-0008829-033","A","Sales Return Item","Capital","IMH-10"
"101-0008829-033SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0008829-033SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008836-007","A","FIS Return Item","Capital","CF-HQ190L"
"101-0008836-007","A","FIS Return Item","Capital","PCF-H190L"
"101-0008836-007","A","FIS Return Item","Capital","GIF-HQ190"
"101-0008836-007","A","FIS Return Item","Capital","GIF-H190"
"101-0008836-007","A","FIS Return Item","Capital","GIF-1TH190"
"101-0008836-008","A","FIS Return Item","Capital","CF-HQ190L"
"101-0008836-008","A","FIS Return Item","Capital","GIF-HQ190"
"101-0008836-009","A","Sales Return Item","Capital","CF-HQ190L"
"101-0008836-009SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0008836-009SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0008836-011","A","Sales Return Item","Capital","GF-UCT180"
"101-0008836-011","C","OP Sales Item","Capital","GF-UCT180"
"101-0008873-004","A","FIS Return Item","Capital","CF-HQ190L"
"101-0008873-004","A","FIS Return Item","Capital","PCF-H190L"
"101-0008873-004","A","FIS Return Item","Capital","GIF-H190"
"101-0008873-005","C","OP Sales Item","Capital","CF-HQ190L"
"101-0008873-005","C","OP Sales Item","Capital","GIF-H190"
"101-0008873-005","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008873-005","C","OP Sales Item","Capital","WA4KL100"
"101-0008873-005","C","OP Sales Item","Capital","WA4KL130"
"101-0008873-005","C","OP Sales Item","Capital","WA4KL500"
"101-0008873-005","C","OP Sales Item","Accessory","WA03310A"
"101-0008955-005","C","Sales Return Item","Single-Disposable","LCS1500UNOL"
"101-0008955-005","C","Sales Return Item","Single-Disposable","LCS1530BTOL"
"101-0008972-016","C","OP Sales Item","Capital","OFP-2"
"101-0008972-016","C","OP Sales Item","Capital","K10021769"
"101-0008972-016","C","OP Sales Item","Capital","UCR"
"101-0008972-016","C","OP Sales Item","Capital","CV-190"
"101-0008972-016","C","OP Sales Item","Capital","CLV-190"
"101-0008972-016","C","OP Sales Item","Capital","GIF-HQ190"
"101-0008972-016","C","OP Sales Item","Capital","OEV-262H"
"101-0008972-016","C","OP Sales Item","Capital","PCF-H190DL"
"101-0008972-016","C","OP Sales Item","Capital","OEP-5"
"101-0008972-016","C","OP Sales Item","Accessory","MAJ-902"
"101-0008972-016","C","OP Sales Item","Accessory","MAJ-1918"
"101-0008972-016","C","OP Sales Item","Accessory","MAJ-1916"
"101-0008972-016","C","OP Sales Item","Accessory","ERG97-512-009"
"101-0008972-016","C","OP Sales Item","Accessory","CV-SDI-10"
"101-0008972-016","C","OP Sales Item","Accessory","CV-SDI-25"
"101-0008972-016","C","OP Sales Item","Single-Disposable","MAJ-1741"
"101-0008972-016","C","OP Sales Item","Single-Disposable","UPC-55"
"101-0009166-047SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0009166-047SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0009166-048SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0009166-048SALESSUPPORT","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0009166-050","C","Sales Explanation","Capital","TC-E400"
"101-0009166-050","C","Sales Explanation","Capital","USG-400"
"101-0009166-050","C","Sales Explanation","Capital","WB50403W"
"101-0009166-050","C","Sales Explanation","Capital","WB91051W"
"101-0009166-050","C","Sales Explanation","Accessory","MAJ-619"
"101-0009166-050","C","Sales Explanation","Accessory","MAJ-1871"
"101-0009166-050","C","Sales Explanation","Accessory","MAJ-1876"
"101-0009166-050","C","Sales Explanation","Accessory","WA95622A"
"101-0009166-050","C","Pric.at Header Level","Capital","EPF-1C"
"101-0009166-051","C","OP Sales Item","Capital","TJF-Q180V"
"101-0009166-052","C","OP Sales Item","Capital","WA33036A"
"101-0009166-052","C","OP Sales Item","Accessory","A3342"
"101-0009166-052","C","OP Sales Item","Accessory","A4558"
"101-0009166-052","C","OP Sales Item","Accessory","WA03310A"
"101-0009166-052","C","OP Sales Item","Accessory","WA05970A"
"101-0009166-052","C","OP Sales Item","Accessory","WA05971A"
"101-0009166-052","C","OP Sales Item","Accessory","WA33035A"
"101-0009166-052","C","OP Sales Item","Multi-Disposable","A00001A"
"101-0009166-053","C","OP Sales Item","Capital","CF-HQ190L"
"101-0009212-054SALESSUPPOR","C","Oly Item Cat DB Memo","Repair","LABOR (BILLABLE)"
"101-0009212-054SALESSUPPOR","C","Oly Item Cat DB Memo","Repair","TRAVEL (BILLABLE)"
"101-0009241-001","A","Sales Return Item","Capital","OEV-262H"
"101-0009241-001","A","Oly.Third Party Item","Capital","SCOPELOCKER18SH"
"101-0009241-001","A","Oly.Third Party Item","Accessory","LOCKERKEYLESS"
"101-0009241-001","C","OP Sales Item","Capital","MU-1"
"101-0009241-001","C","OP Sales Item","Capital","OFP-2"
"101-0009241-001","C","OP Sales Item","Capital","K10020639"
"101-0009241-001","C","OP Sales Item","Capital","UCR"
"101-0009241-001","C","OP Sales Item","Capital","CV-190"
"101-0009241-001","C","OP Sales Item","Capital","CLV-190"
"101-0009241-001","C","OP Sales Item","Capital","CF-HQ190L"
"101-0009241-001","C","OP Sales Item","Capital","GIF-H190"
"101-0009241-001","C","OP Sales Item","Capital","OEV-262H"
"101-0009241-001","C","OP Sales Item","Capital","PCF-H190DL"
"101-0009241-001","C","OP Sales Item","Capital","OEP-5"
"101-0009241-001","C","OP Sales Item","Capital","WB991046"
"101-0009241-001","C","OP Sales Item","Accessory","MH-969"
"101-0009241-001","C","OP Sales Item","Accessory","MH-984"
"101-0009241-001","C","OP Sales Item","Accessory","MB-155"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1641"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1643"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1639"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1666"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1918"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1951"
"101-0009241-001","C","OP Sales Item","Accessory","MAJ-1916"
"101-0009241-001","C","OP Sales Item","Accessory","OL-0015-02"
"101-0009241-001","C","OP Sales Item","Accessory","OIS-09681"
"101-0009241-001","C","OP Sales Item","Accessory","55556L12-1"
"101-0009241-001","C","OP Sales Item","Accessory","55565-1"
"101-0009241-001","C","OP Sales Item","Accessory","55565A-1"
"101-0009241-001","C","OP Sales Item","Single-Disposable","BD-410X-0855"
